Name;Cost;URL
Молоко ультрапастеризованное ПРОСТОКВАШИНО безлактозное 1,5%, без змж, 970мл;142.99;https://lenta.com/product/moloko-prostokvashino-bezlaktoznoe-ultrapast-15-bez-zmzh-rossiya-970ml-535292
Сливки ультрапастеризованные ПЕТМОЛ Для чая и кофе 11%, без змж, 500мл;144.99;https://lenta.com/product/slivki-petmol-upast-pitevye-11-combiblock-bez-zmzh-rossiya-500ml-3634
Сливки ультрапастеризованные ПЕТМОЛ Для взбивания 33%, без змж, 500г;409.99;https://lenta.com/product/krem-petmol-slivochnyjj-upast-33-sombiblock-bez-zmzh-rossiya-500g-3951
Сливки стерилизованные ДОМИК В ДЕРЕВНЕ 20%, без змж, 480г;259.99;https://lenta.com/product/slivki-domik-v-derevne-steril-20-bez-zmzh-rossiya-480g-69432
Молоко ультрапастеризованное PARMALAT Edge 3,5%, без змж, 1000мл;134.99;https://lenta.com/product/moloko-parmalat-upast-edge-35-bez-zmzh-rossiya-1000ml-70490
Молоко ультрапастеризованное PARMALAT Edge 1,8%, без змж, 1000мл;129.99;https://lenta.com/product/moloko-parmalat-upast-edge-18-bez-zmzh-rossiya-1000ml-70492
Молоко ультрапастеризованное PARMALAT 0,5%, без змж, 1000мл;115.99;https://lenta.com/product/moloko-parmalat-steril05-bez-zmzh-rossiya-1000ml-70493
Сливки стерилизованные ДОМИК В ДЕРЕВНЕ 10%, без змж, 200г;79.99;https://lenta.com/product/slivki-domik-v-derevne-steril-pitevye-10-tba-square-bez-zmzh-rossiya-200g-78784
Сливки стерилизованные ДОМИК В ДЕРЕВНЕ 10%, без змж, 480г;189.99;https://lenta.com/product/slivki-domik-v-derevne-steril-pitevye-10-combi-slim-bez-zmzh-rossiya-480g-78790
Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл;94.99;https://lenta.com/product/moloko-prostokvashino-past-pitevoe-25-pet-bez-zmzh-rossiya-930ml-80424
Молоко ультрапастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 950мл;134.99;https://lenta.com/product/moloko-prostokvashino-upast-25-bez-zmzh-rossiya-950ml-84813
Молоко ультрапастеризованное ПРОСТОКВАШИНО 3,2%, без змж, 950мл;139.99;https://lenta.com/product/moloko-prostokvashino-upast-32-bez-zmzh-rossiya-950ml-84814
Молоко ультрапастеризованное PARMALAT Dietalat Edge 0,5%, без змж, 1000мл;129.99;https://lenta.com/product/moloko-parmalat-upast-dietalat-edge-05-bez-zmzh-rossiya-1000ml-93560
Молоко пастеризованное ПРОСТОКВАШИНО отборное 3,4–4,5%, без змж, 930мл;99.99;https://lenta.com/product/moloko-prostokvashino-past-pitevoe-celnoe-otbornoe-34-45-pet-bez-zmzh-rossiya-930ml-102065
Сливки стерилизованные ДОМИК В ДЕРЕВНЕ 20%, без змж, 200г;109.99;https://lenta.com/product/slivki-domik-v-derevne-steril-20-tba-sq-s-kryshkojj-bez-zmzh-rossiya-200g-105111
Молоко ультрапастеризованное БОЛЬШАЯ КРУЖКА 2,5%, без змж, 1980г;259.99;https://lenta.com/product/moloko-bolshaya-kruzhka-upast-pitevoe-25-bez-zmzh-rossiya-1980g-136374
Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 6%, без змж, 950г;219.99;https://lenta.com/product/moloko-domik-v-derevne-upast-pitevoe-6-tbaslim-bez-zmzh-rossiya-950g-146951
Молоко стерилизованное ДОМИК В ДЕРЕВНЕ 1,5%, без змж, 950г;124.99;https://lenta.com/product/moloko-domik-v-derevne-steril-15-tbaslim-bez-zmzh-rossiya-950g-146956
Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 3,2%, без змж, 950г;114.99;https://lenta.com/product/moloko-domik-v-derevne-steril-32-tbaslim-bez-zmzh-rossiya-950g-146973
Молоко ультрапастеризованное 365 ДНЕЙ 1,5%, без змж, 1000мл;80.99;https://lenta.com/product/moloko-365-dnejj-upast-15-bez-zmzh-rossiya-1000ml-159093
Молоко ультрапастеризованное 365 ДНЕЙ 3,2%, без змж, 1000мл;94.99;https://lenta.com/product/moloko-365-dnejj-upast-32-bez-zmzh-rossiya-1000ml-159096
Сливки стерилизованные АЛЬПЕНГУРТ 10% порционные, без змж, 10x10г;59.99;https://lenta.com/product/slivki-alpengurt-steril-pitevye-porc-10-bez-zmzh-rossiya-1010g-174452
Молоко пастеризованное ДОМИК В ДЕРЕВНЕ Деревенское отборное цельное  3,4–4,5%, без змж, 930мл;94.99;https://lenta.com/product/moloko-domik-v-derevne-past-pitevoe-celnoe-derevensk-otbornoe-34-45-bez-zmzh-rossiya-930ml-177937
Молоко ультрапастеризованное МОЛОЧНАЯ СКАЗКА 3,2%, без змж, 900г;107.99;https://lenta.com/product/moloko-molochnaya-skazka-upast-pitevoe-32-bez-zmzh-rossiya-900g-183117
Молоко ультрапастеризованное МОЛОЧНАЯ СКАЗКА 2,5%, без змж, 900г;93.99;https://lenta.com/product/moloko-molochnaya-skazka-upast-pitevoe-25-bez-zmzh-rossiya-900g-183129
Сливки ультрапастеризованные ЛЕНТА 10%, без змж, 500г;146.99;https://lenta.com/product/slivki-lenta-upast-10-bez-zmzh-rossiya-500g-216764
Сливки ультрапастеризованные ЛЕНТА 20%, без змж, 500г;199.99;https://lenta.com/product/slivki-lenta-upast-20-bez-zmzh-rossiya-500g-216767
Молоко ультрапастеризованное топленое ЛЕНТА 3,2%, без змж, 950мл;119.99;https://lenta.com/product/moloko-lenta-upast-pitevoe-toplenoe-32-bez-zmzh-rossiya-950ml-216789
Молоко пастеризованное АЛТАЙСКАЯ БУРЕНКА 3,2% ГОСТ, без змж, 850г;109.99;https://lenta.com/product/moloko-altajjskaya-burenka-past-pitevoe-gost-32-pb-bez-zmzh-rossiya-850g-266044
"Молоко козье ультрапастеризованное СЕЛО ЗЕЛЕНОЕ отборное 2,8–5,6%, без 
змж, 500г";179.99;https://lenta.com/product/moloko-selo-zelenoe-upast-otbornoe-28-56-tbaslim-bez-zmzh-rossiya-500g-275458
Сливки стерилизованные СЕЛО ЗЕЛЕНОЕ 20%, без змж, 500г;229.99;https://lenta.com/product/slivki-selo-zelenoe-steril-20-sq-bez-zmzh-rossiya-500g-275461
Сливки стерилизованные СЕЛО ЗЕЛЕНОЕ 10%, без змж, 500г;149.99;https://lenta.com/product/slivki-selo-zelenoe-steril-10-sq-bez-zmzh-rossiya-500g-275462
Молоко топленое ДМЗ 2,5%, без змж, 1000г;73.99;https://lenta.com/product/moloko-dmz-pitevoe-toplenoe-25-pp-bez-zmzh-rossiya-1000g-286179
