Name;Cost;URL
Багет ЛЕНТА FRESH Французский, 300г;59.99;https://lenta.com/product/baget-francuzskijj-sp-lenta-fresh-rossiya-300g-48122
Пирог ЛЕНТА FRESH с брусникой, весовой;419.99;https://lenta.com/product/pirog-s-yagodami-brusnika-ves-sp-lenta-fresh-rossiya-60032
Пирог ЛЕНТА FRESH с яблоками, весовой;359.99;https://lenta.com/product/pirog-s-yablokami-ves-sp-lenta-fresh-rossiya-67281
Пирог ЛЕНТА FRESH с вишней, весовой;619.99;https://lenta.com/product/pirog-s-yagodami-vishnya-ves-sp-lenta-fresh-rossiya-83301
Пампушки ЛЕНТА FRESH с чесноком, весовые;349.99;https://lenta.com/product/pampushki-s-chesnokom-ves-sp-lenta-fresh-rossiya-97162
Тесто дрожжевое сдобное ЛЕНТА FRESH, весовое;149.99;https://lenta.com/product/testo-drozhzhevoe-sdobnoe-ves-sp-lenta-fresh-rossiya-100266
Хлеб ЛЕНТА FRESH Балтийский с сыром, 400г;90.49;https://lenta.com/product/hleb-baltijjskijj-s-syrom-sp-lenta-fresh-rossiya-400g-100662
Хлеб ЛЕНТА FRESH Балтийский, 400г;54.99;https://lenta.com/product/hleb-baltijjskijj-sp-lenta-fresh-rossiya-400g-100669
Хлеб ЛЕНТА FRESH Старославянский, 600г;39.99;https://lenta.com/product/hleb-lenta-fresh-staroslavyanskijj-sp-rossiya-600g-139192
Пирог ЛЕНТА FRESH с капустой, весовой;462.99;https://lenta.com/product/pirog-lenta-s-kapustojj-ves-sp-lenta-fresh-rossiya-141209
Лепешка ЛЕНТА FRESH Царская, 450г;85.29;https://lenta.com/product/hleb-lepeshka-carskaya-sp-lenta-fresh-rossiya-450g-150287
Пирог ЛЕНТА FRESH с курицей, весовой;699.99;https://lenta.com/product/pirog-lenta-s-kuricejj-ves-sp-lenta-fresh-rossiya-176098
Пирог ЛЕНТА FRESH с клубникой, весовой;549.99;https://lenta.com/product/pirog-s-klubnikojj-ves-sp-lenta-fresh-rossiya-179871
Кекс ЛЕНТА FRESH Брауниз с шоколадом и вишней, весовой;539.99;https://lenta.com/product/keks-brauniz-s-shokoladom-i-vishnejj-ves-sp-lenta-fresh-rossiya-181528
Хлеб ЛЕНТА FRESH Дарницкий, 300г;23.99;https://lenta.com/product/hleb-darnickijj-sp-lenta-fresh-rossiya-300g-194317
Хлеб заварной ЛЕНТА FRESH Бородинский, 400г;87.99;https://lenta.com/product/hleb-borodinskijj-zavarnojj-sp-lenta-fresh-rossiya-400g-194318
Плюшка ЛЕНТА FRESH Московская, 200г;49.99;https://lenta.com/product/plyushka-moskovskaya-sp-lenta-fresh-rossiya-200g-197194
Фаготтини ЛЕНТА FRESH с мясом, 65г;25.99;https://lenta.com/product/fagottini-s-myasom-lenta-fresh-rossiya-65g-208564
Фаготтини ЛЕНТА FRESH с вишневым джемом, 70г;21.99;https://lenta.com/product/fagottini-s-vishnevym-dzhemom-lenta-fresh-rossiya-70g-208567
Хлеб ЛЕНТА FRESH Сицилийский с итальянскими травами, 300г;79.99;https://lenta.com/product/hleb-sicilijjskijj-s-italyanskimi-travami-sp-lenta-fresh-rossiya-300g-216038
Тесто для пирожков ЛЕНТА FRESH, весовое;109.99;https://lenta.com/product/testo-dlya-pirozhkov-ves-sp-lenta-fresh-rossiya-221254
Булочки ЛЕНТА FRESH Дружная семейка, весовые;389.99;https://lenta.com/product/bulochki-druzhnaya-semejjka-ves-sp-lenta-fresh-rossiya-239317
Кекс ЛЕНТА FRESH Столичный, 330г;169.99;https://lenta.com/product/keks-stolichnyjj-sp-lenta-fresh-rossiya-330g-336724
Пирожок ЛЕНТА FRESH Домашний с капустой, 100г;24.99;https://lenta.com/product/pirozhok-domashnijj-s-kapustojj-sp-lenta-fresh-rossiya-100g-342759
Кекс ЛЕНТА FRESH Нежный с творогом, 350г;179.99;https://lenta.com/product/keks-nezhnyjj-s-tvorogom--sp-lenta-fresh-rossiya-350g-343300
Булочка для гамбургера ЛЕНТА FRESH, 60г;15.99;https://lenta.com/product/bulochka-dlya-gamburgera-sp-lenta-fresh-rossiya-60g-359092
Тесто для пельменей ЛЕНТА FRESH, весовое;89.99;https://lenta.com/product/testo-dlya-pelmenejj-ves-sp-lenta-fresh-rossiya-359564
Хлеб пшеничный ЛЕНТА FRESH на опаре, 300г;34.99;https://lenta.com/product/hleb-pshenichnyjj-na-opare-sp-lenta-fresh-rossiya-300g-360541
Багет ЛЕНТА FRESH Французский, мини, 100г;10.99;https://lenta.com/product/baget-francuzskijj-mini-sp-lenta-fresh-rossiya-1100g-361853
Хлеб ЛЕНТА FRESH Кукурузный особый, 350г;89.00;https://lenta.com/product/hleb-kukuruznyjj-osobyjj--sp-lenta-fresh-rossiya-350g-366165
Круассан ЛЕНТА FRESH Французский, 50г;22.99;https://lenta.com/product/kruassan-francuzskijj-zmp-lenta-fresh-rossiya-50g-380311
Булочка ЛЕНТА FRESH Пшеничная, 40г;9.99;https://lenta.com/product/bulochka-pshenichnaya-sp-lenta-fresh-rossiya-40g-382145
Багет ЛЕНТА FRESH Традиционный, 230г;59.99;https://lenta.com/product/baget-tradicionnyjj-zmp-lenta-fresh-rossiya-230g-386975
Хлеб зерновой ЛЕНТА FRESH Идеальная фигура, 360г;109.99;https://lenta.com/product/hleb-zernovojj-idealnaya-figura--sp-lenta-fresh-rossiya-360g-454310
Хлебец ЛЕНТА FRESH Зерновой, 150г;49.99;https://lenta.com/product/hlebec-zernovojj-sp-lenta-fresh-rossiya-150g-455989
Пампушка ржаная ЛЕНТА FRESH с чесноком и зеленью, весовая;379.99;https://lenta.com/product/pampushka-rzhanaya-s-chesnokom-i-zelenyu-ves-sp-lenta-fresh-rossiya-456236
Круассан ЛЕНТА FRESH с абрикосовой начинкой, 55г;46.99;https://lenta.com/product/kruassan-s-abrikosovojj-nachinkojj-zmp-lenta-fresh-rossiya-55g-472470
Круассан ЛЕНТА FRESH миндальный, 120г;88.99;https://lenta.com/product/kruassan-mindalnyjj-sp-lenta-fresh-rossiya-120g-472471
Слойка ЛЕНТА FRESH с клубникой, 100г;47.99;https://lenta.com/product/slojjka-s-klubnikojj-lenta-fresh-rossiya-100g-497293
Слойка ЛЕНТА FRESH с малиной, 100г;52.99;https://lenta.com/product/slojjka-s-malinojj-lenta-fresh-rossiya-100g-497294
