Name;Cost;URL
Прокладки ALWAYS Ultra Супер, с крылышками, 8шт;149.99;https://lenta.com/product/prokladki-always-ultra-super-vengriya-8sht-613
Шампунь для окрашенных или мелированных волос ELSEVE Эксперт Цвета, 250мл;402.99;https://lenta.com/product/shampun-elseve-cvet-i-blesk-rossiya-250ml-965
Пена для бритья NIVEA Men для чувствительной кожи, 200мл;239.99;https://lenta.com/product/pena-dlya-britya-nivea-men-dchuvstvitelnojj-kozhi-germaniya-200ml-1085
Прокладки BELLA Classic Nova Comfort, 10шт;86.99;https://lenta.com/product/prokladki-bella-nova-comfort-drainette-polsha-10sht-2590
Бальзам-ополаскиватель для волос ELSEVE Цвет и блеск, 200мл;402.99;https://lenta.com/product/balzam-opolaskivatel-elseve-cvet-i-blesk-rossiya-200ml-6147
Прокладки ALWAYS Ultra Нормал, с крылышками, 10шт;149.99;https://lenta.com/product/prokladki-always-ultra-normal-vengriya-10sht-9580
Шампунь для волос FRUCTIS Свежесть, 250мл;269.99;https://lenta.com/product/shampun-fructis-svezhest-rossiya-250ml-12546
Зубная паста COLGATE Тройное действие Натуральная мята для защиты от кариеса, удаления потемнений с зубов и свежего дыхания, 100мл;154.99;https://lenta.com/product/zubnaya-pasta-colgate-trojjnoe-dejjstvie-kitajj-100ml-14277
Туалетное мыло PALMOLIVE Натурэль смягчающее со свежей малиной, 90г;94.99;https://lenta.com/product/tualetnoe-mylo-palmolive-naturel-smyagchayushchee-turciya-90g-15157
Крем-краска для волос ПАЛЕТТ Интенсивный цвет 8–0 (N7) Русый, 110мл;179.99;https://lenta.com/product/krem-kraska-dlya-volos-palett-rusyjj-n7-1-rossiya-110ml-21652
Крем-краска для волос ПАЛЕТТ Интенсивный цвет 4–89 (RFE3) Баклажан, 110мл;179.99;https://lenta.com/product/krem-kraska-dlya-volos-palett-baklazhan-rfe-3-rossiya-110ml-22420
Прокладки ALWAYS Ultra Лайт, с крылышками, 20шт;269.99;https://lenta.com/product/prokladki-always-ultra-light-duo-vengriya-20sht-22465
Станок для бритья женский одноразовый GILLETTE Blue II, 5шт;169.99;https://lenta.com/product/stanok-dlya-britya-gillette-disposable-blue-ii-zhen-polsha-5sht-26610
Гель для умывания NIVEA освежающий, для нормальной кожи, 150мл;254.99;https://lenta.com/product/gel-dlya-umyvaniya-nivea-osvezhayushchijj-dnormalnojj-kozhi-franciya-150ml-30135
Бумага туалетная ЛЕНТА 2 слоя, 4шт;72.99;https://lenta.com/product/tualetnaya-bumaga-lenta-2-sl-rossiya-4sht-32003
Шампунь против перхоти HEAD&SHOULDERS Энергия океана, 400мл;379.99;https://lenta.com/product/shampun-headshoulders-pperhoti-energiya-okeana-rumyniya-400ml-34182
Диски ватные 365 ДНЕЙ, 80шт;28.99;https://lenta.com/product/diski-vatnye-365-dnejj-rossiya-80sht-41959
Прокладки KOTEX Ultra Dry&Soft Night Absorbent Ultra с крылышками, 7шт;139.99;https://lenta.com/product/prokladki-kotex-ultra-dry-soft-night-absorbent-ultra-s-krylysh-zhen-gigien-chehiya-7sht-45910
Прокладки KOTEX Normal Ultra Dry&Soft Absorbent Ultra с крылышками, 20шт;269.99;https://lenta.com/product/prokladki-kotex-normal-ultra-drysoft-absorbent-ultra-zhen-gigien-s-kryl-koreya-20sht-45911
Прокладки KOTEX Super Ultra Dry&Soft Absorbent Ultra с крылышками, 16шт;269.99;https://lenta.com/product/prokladki-kotex-super-ultra-drysoft-absorbent-ultra-zhen-gigien-s-kryl-chehiya-16sht-45912
Зубная щетка COLGATE Зиг Заг многофункциональная, средней жесткости;104.99;https://lenta.com/product/zubnaya-shchetka-colgate-zig-zag-srednyaya-kitajj-1sht-47467
Крем дневной для лица ЧИСТАЯ ЛИНИЯ Увлажняющий, для сухой кожи, 42г;89.99;https://lenta.com/product/krem-chistaya-liniya-uvl-dnevnojj-dsuhojj-kozhi-rossiya-42g-51399
Пена для бритья ARKO Cool, 200мл;199.99;https://lenta.com/product/pena-dlya-britya-arko-cool-turciya-200ml-51572
Дезодорант-антиперспирант спрей женский РЕКСОНА Свежесть бамбука и алоэ вера, 150мл;179.99;https://lenta.com/product/dezodorant-reksona-aloe-vera-sprejj-rossiya-150ml-52072
Дезодорант-антиперспирант стик женский РЕКСОНА Свежесть бамбука и алоэ вера, 40мл;259.99;https://lenta.com/product/dezodorant-reksona-aloe-vera-stik-rossiya-40ml-52075
Платочки бумажные носовые ZEWA Deluxe 3-слоя, 10шт;139.99;https://lenta.com/product/platki-nosovye-zewa-deluxe-nosovye-3-sloya-rossiya-10sht-56928
Шампунь для волос FRUCTIS Огуречная свежесть, 400мл;299.00;https://lenta.com/product/shampun-fructis-ogurechnaya-svezhest-rossiya-400ml-57006
Шампунь для тонких, ослабленных волос PANTENE Густые и крепкие, 400мл;329.99;https://lenta.com/product/shampun-pantene-gustye-i-krepkie-rumyniya-400ml-58276
Тампоны TAMPAX Compack Regular, 16шт;349.99;https://lenta.com/product/tampony-tampax-compack-regular-gigien-vengriya-16sht-61783
Крем ночной для лица L'OREAL Ревиталифт антивозрастной, 50мл;599.99;https://lenta.com/product/krem-loreal-revitalift-nochnojj-germaniya-50ml-64687
Платочки бумажные 365 ДНЕЙ, 10шт;64.99;https://lenta.com/product/platochki-365-dnejj-bumazh-up10h10-rossiya-68281
Кассеты сменные для бритья MACH3 Turbo, 4шт;1364.99;https://lenta.com/product/kassety-mach3-mach3-turbo-dmuzh-vetnam-4sht-68813
Станок для бритья ARKO Стандарт 2 лезвия;139.99;https://lenta.com/product/stanok-dlya-britya-arko-standart-2-lezviya-vetnam-5sht-72770
Гель для душа ФА Ванильный йогурт, 250мл;139.99;https://lenta.com/product/gel-dlya-dusha-fa-yoghurt-vanilnyjj-med-853023-rossiya-250ml-74133
Тампоны O.B. ProComfort Super, 16шт;299.99;https://lenta.com/product/tampony-ob-procomfort-super-germaniya-16sht-75125
Прокладки NATURELLA Ultra Maxi, 16шт;249.99;https://lenta.com/product/prokladki-naturella-ultra-maxi-duo-vengriya-16sht-76301
Презервативы CONTEX Classic, 12шт;499.99;https://lenta.com/product/prezervativy-contex-12-classic-velikobritaniya-77879
Тампоны O.B. ProComfort Normal, 16шт;299.99;https://lenta.com/product/tampony-ob-procomfort-normal-franciya-16sht-99434
Дезодорант роликовый женский NIVEA Deodorant Pearl&Beaty Жемчужная Красота с экстрактом жемчуга, 50мл;179.99;https://lenta.com/product/dezodorant-nivea-pearlbeaty-zhemchuzhnaya-krasota-ekstrzhemchuga-sharik-deodorant-germaniya-50ml-100613
Гель-крем для душа PALMOLIVE Натурэль Питание Мед и увлажняющее молочко, 750мл;596.99;https://lenta.com/product/gel-dlya-dusha-palmolive-pit-med-i-uvl-molochko-tailand-750ml-103674
